dataset,file,group,replicate,ROI,roi_number,n_events
0717,2hz1,2Hz,1,ROI.12 [],12,0
0717,2hz1,2Hz,1,ROI.13 [],13,0
0717,2hz1,2Hz,1,ROI.14 [],14,0
0717,2hz1,2Hz,1,ROI.15 [],15,0
0717,2hz1,2Hz,1,ROI.16 [],16,2
0717,2hz1,2Hz,1,ROI.17 [],17,0
0717,2hz1,2Hz,1,ROI.18 [],18,0
0717,2hz1,2Hz,1,ROI.19 [],19,0
0717,2hz1,2Hz,1,ROI.20 [],20,0
0717,2hz1,2Hz,1,ROI.01 [],1,0
0717,2hz1,2Hz,1,ROI.02 [],2,1
0717,2hz1,2Hz,1,ROI.03 [],3,1
0717,2hz1,2Hz,1,ROI.21 [],21,3
0717,2hz1,2Hz,1,ROI.23 [],23,0
0717,2hz1,2Hz,1,ROI.24 [],24,0
0717,2hz1,2Hz,1,ROI.25 [],25,0
0717,2hz2,2Hz,2,ROI.04 [],4,1
0717,2hz2,2Hz,2,ROI.05 [],5,0
0717,2hz2,2Hz,2,ROI.06 [],6,0
0717,2hz2,2Hz,2,ROI.07 [],7,0
0717,2hz2,2Hz,2,ROI.08 [],8,3
0717,2hz2,2Hz,2,ROI.09 [],9,0
0717,2hz2,2Hz,2,ROI.10 [],10,0
0717,2hz2,2Hz,2,ROI.11 [],11,0
0717,2hz2,2Hz,2,ROI.12 [],12,1
0717,2hz2,2Hz,2,ROI.13 [],13,0
0717,2hz2,2Hz,2,ROI.14 [],14,1
0717,2hz2,2Hz,2,ROI.15 [],15,0
0717,2hz2,2Hz,2,ROI.16 [],16,0
0717,2hz2,2Hz,2,ROI.17 [],17,0
0717,2hz2,2Hz,2,ROI.18 [],18,1
0717,2hz2,2Hz,2,ROI.19 [],19,0
0717,2hz2,2Hz,2,ROI.20 [],20,0
0717,2hz2,2Hz,2,ROI.01 [],1,0
0717,2hz2,2Hz,2,ROI.02 [],2,2
0717,2hz2,2Hz,2,ROI.03 [],3,3
0717,2hz2,2Hz,2,ROI.21 [],21,3
0717,2hz2,2Hz,2,ROI.23 [],23,0
0717,2hz2,2Hz,2,ROI.24 [],24,0
0717,2hz2,2Hz,2,ROI.25 [],25,0
0717,2hz3,2Hz,3,ROI.04 [],4,0
0717,2hz3,2Hz,3,ROI.05 [],5,0
0717,2hz3,2Hz,3,ROI.06 [],6,0
0717,2hz3,2Hz,3,ROI.07 [],7,0
0717,2hz3,2Hz,3,ROI.08 [],8,2
0717,2hz3,2Hz,3,ROI.09 [],9,0
0717,2hz3,2Hz,3,ROI.10 [],10,0
0717,2hz3,2Hz,3,ROI.11 [],11,0
